deparment,code,discription,rate
DEPARTMENT OF ANAESTHESIOLOG,1095    ,GEN. ANAES. FOR MAJOR SURG.WITH INVASIVE MONI      ,4000              
DEPARTMENT OF ANAESTHESIOLOG,1096    ,ANAESTHESIA FOR OHS(ASD, VSD)                      ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1097    ,ANAESTHESIA FOR OPERN HEART SURGERY (VALVES &      ,8000              
DEPARTMENT OF ANAESTHESIOLOG,1098    ,FIBER OPTIC BRONCHOSCOPY FOR DIFFICULTY INTUB       ,500              
DEPARTMENT OF ANAESTHESIOLOG,1099    ,RESPIRATORY THERAPY                                  ,50              
DEPARTMENT OF ANAESTHESIOLOG,1100    ,MONITORED ANAESTHESIA CARE                          ,600              
DEPARTMENT OF ANAESTHESIOLOG,LPTAN   ,LIPID FREE PROPOFOL TRIAL                  ,        2310              
DEPARTMENT OF ANAESTHESIOLOG,LPTAN2  ,SAFETY OF PROPOFOL LIPID-FREE STUDY                ,2380              
DEPARTMENT OF ANAESTHESIOLOG,MR03    ,ANAESTHESIA CHARGES                                 ,500              
DEPARTMENT OF BLOOD BAN,751A    ,BLOOD GROUPING                                       ,60              
DEPARTMENT OF BLOOD BAN,752A    ,DIRECT  COOMB'S TEST                                 ,90              
DEPARTMENT OF BLOOD BAN,753A    ,INDIRECT COOMB'S TEST                                ,90              
DEPARTMENT OF BLOOD BAN,754A    ,ANTIBODY TITRE                                      ,200              
DEPARTMENT OF BLOOD BAN,755A    ,BLOOD RESERVATION                                    ,75              
DEPARTMENT OF BLOOD BAN,756A    ,1 UNIT OF BLOOD                                     ,600              
DEPARTMENT OF BLOOD BAN,757A    ,1 UNIT OF FRESH FROZEN PLASMA                       ,600              
DEPARTMENT OF BLOOD BAN,758A    ,1 UNIT OF PLATELETS                                 ,600              
DEPARTMENT OF BLOOD BAN,759A    ,1 UNIT OF CRYOPRECIPITATE                           ,750              
DEPARTMENT OF BLOOD BAN,760A    ,PLASMAPHERESIS ,                                    7000              
DEPARTMENT OF BLOOD BAN,761A    ,PLATELET PHERESIS                                  ,8500              
DEPARTMENT OF BLOOD BAN,762A    ,PREDONATION DONOR SCREENING FOR OPEN HEART SU       ,600              
DEPARTMENT OF BLOOD BAN,764A    ,EXTERNAL CASE               ,                        100              
DEPARTMENT OF BLOOD BAN,765A    ,MANUAL PLASMAPHERESIS                               ,375              
DEPARTMENT OF BLOOD BAN,766A    ,THERAPEUTIC PHLEBOTOMY                              ,100              
DEPARTMENT OF BLOOD BAN,767A    ,CRYO(HEMOPHILIA)                         ,           300              
DEPARTMENT OF BLOOD BAN,768A    ,FFP(HEMOPHILIA)                                     ,300              
DEPARTMENT OF BLOOD BAN,769A    ,SCREENING TRANSFUSION TRANSMITTED VIRUS             ,100              
DEPARTMENT OF BIOCHEMISTR,==========================
DEPARTMENT OF BIOCHEMISTR,11A     ,BLOOD GLUCOSE FASTING, SUGAR                         ,50              
DEPARTMENT OF BIOCHEMISTR,11B     ,GLUCOSE FASTING AND P.P.                             ,90              
DEPARTMENT OF BIOCHEMISTR,11C     ,GLUCOSE TOLERANCE TEST (GTT)            ,            290              
DEPARTMENT OF BIOCHEMISTR,11D     ,EXTENDED GTT                                        ,350              
DEPARTMENT OF BIOCHEMISTR,11E     ,GLUCOSE (GLUCO METER)                                ,30              
DEPARTMENT OF BIOCHEMISTR,12A     ,ELECTROLYTES(CHLORIDE OR BICARBONATE) EACH           ,75              
DEPARTMENT OF BIOCHEMISTR,12B     ,ELECTROLYTES (Na&K) BOTH                            ,150              
DEPARTMENT OF BIOCHEMISTR,12C     ,ELECTROLYTES (Na,K,Cl)ALL                           ,200              
DEPARTMENT OF BIOCHEMISTR,12D     ,CHLORIDE                                              80          ,    
DEPARTMENT OF BIOCHEMISTR,13A     ,BLOOD UREA                                           ,70              
DEPARTMENT OF BIOCHEMISTR,14A     ,SERUM CREATININE                                     ,70              
DEPARTMENT OF BIOCHEMISTR,15A     ,SERUM URIC ACID                                      ,90              
DEPARTMENT OF BIOCHEMISTR,15B    , SERUM LACTIC ACID                                   ,310              
DEPARTMENT OF BIOCHEMISTR,16A     ,SERUM CHOLESTEROL (TOTAL)                            ,90              
DEPARTMENT OF BIOCHEMISTR,17A     ,SERUM TRIGLYCERIDES                                 ,120              
DEPARTMENT OF BIOCHEMISTR,18A     ,LIPID PROFILE                                       ,370              
DEPARTMENT OF BIOCHEMISTR,18B     ,LPA                                                 ,600              
DEPARTMENT OF BIOCHEMISTR,18C     ,ELISA HOMOCYSTEINE                                  ,600              
DEPARTMENT OF BIOCHEMISTR,19A     ,SERUM CALCIUM           ,                             75              
DEPARTMENT OF BIOCHEMISTR,20A     ,SERUM PHOSPHORUS                                     ,60              
DEPARTMENT OF BIOCHEMISTR,21A     ,SERUM MAGNESIUM                                     ,100              
DEPARTMENT OF BIOCHEMISTR,22A     ,SERUM FLUORIDE                       ,                70              
DEPARTMENT OF BIOCHEMISTR,22B     ,URINE FLUORIDE                                       ,70              
DEPARTMENT OF BIOCHEMISTR,22C     ,FLUORIDE WATER                                       ,70              
DEPARTMENT OF BIOCHEMISTR,22D     ,FLUORIDE(SERUM & URINE & WATER) ALL               ,  200              
DEPARTMENT OF BIOCHEMISTR,22E     ,BONE FLUORIDE                                       ,200              
DEPARTMENT OF BIOCHEMISTR,23A     ,SERUM OSMOLALITY                                    ,210              
DEPARTMENT OF BIOCHEMISTR,23B     ,URINE OSMOLALITY                                     210       ,       
DEPARTMENT OF BIOCHEMISTR,23C     ,OSMOLALITY(SERUM & URINE) BOTH                      ,370              
DEPARTMENT OF BIOCHEMISTR,24A     ,LIVER FUNCTION TEST (6 TESTS)                       ,380              
DEPARTMENT OF BIOCHEMISTR,25A     ,SERUM TOTAL PROTEINS & ALBUMIN                       ,90              
DEPARTMENT OF BIOCHEMISTR,26A ,    SERUM BILIRUBIN (TOTAL)                              ,65              
DEPARTMENT OF BIOCHEMISTR,26B     ,SERUM BILIRUBIN (CONJUGATED)                         ,65              
DEPARTMENT OF BIOCHEMISTR,26C     ,BILIRUBIN (TOTAL & CONJUGATED)                      ,110              
DEPARTMENT OF BIOCHEMISTR,27A     ,ASPARTATE AMINOTRANSFERASE(SGOT)                     ,85              
DEPARTMENT OF BIOCHEMISTR,28A     ,ALANINE AMINOTRANSFERACE(SGPT)                       ,85              
DEPARTMENT OF BIOCHEMISTR,29A     ,ALKALINE PHOSPHATASE                                 ,85              
DEPARTMENT OF BIOCHEMISTR,29B     ,ALP ISOENZYMES       ,                               400              
DEPARTMENT OF BIOCHEMISTR,30A     ,SERUM GGTP (GAMMA GT)                               ,150              
DEPARTMENT OF BIOCHEMISTR,31A     ,SERUM AMYLASE                                       ,160              
DEPARTMENT OF BIOCHEMISTR,31B     ,SERUM LIPASE                      ,                  250              
DEPARTMENT OF BIOCHEMISTR,31C     ,G_6 PD ASSAY                                        ,220              
DEPARTMENT OF BIOCHEMISTR,32A     ,LACTATE DEHYDROGENASE (LDH)                         ,130              
DEPARTMENT OF BIOCHEMISTR,32B     ,LDH Isoenzymes                                 ,     400              
DEPARTMENT OF BIOCHEMISTR,33A     ,CREATININE PHOSPHOKINASE (CPK)                      ,160              
DEPARTMENT OF BIOCHEMISTR,33B     ,CPK-NAC & CPK-MB                                    ,300              
DEPARTMENT OF BIOCHEMISTR,33C     ,CK ISOENZYMES - CK MASS                              450    ,          
DEPARTMENT OF BIOCHEMISTR,34A     ,ACID PHOSPHATASE (TOTAL & PROSTATIC) BOTH           ,180              
DEPARTMENT OF BIOCHEMISTR,34B     ,ACID PHOSPHATASE (TOTAL)                            ,100              
DEPARTMENT OF BIOCHEMISTR,35A     ,STONE ANALYSIS                                      ,210              
DEPARTMENT OF BIOCHEMISTR,36A     ,AMMONIUM LOAD TEST                                  ,210              
DEPARTMENT OF BIOCHEMISTR,37A     ,SPECTRAL ANALYSIS FOR (PORPHYRINS)                  ,130              
DEPARTMENT OF BIOCHEMISTR,38A     ,SPECTRA FOR HAEMOGLOBIN                             ,130              
DEPARTMENT OF BIOCHEMISTR,39A     ,CSF/PLEURAL/ASCITIC/SYNO.FLD,(PROTEIN,SUG&CHL       ,160              
DEPARTMENT OF BIOCHEMISTR,39B     ,FLUID ANALYSIS (URIC ACID)                           ,90              
DEPARTMENT OF BIOCHEMISTR,39C     ,FLUID ANALYSIS (LDH)                                ,130              
DEPARTMENT OF BIOCHEMISTR,39D     ,FLUID ANALYSIS (AMYLASE)                            ,160              
DEPARTMENT OF BIOCHEMISTR,40A     ,PROTHROMBIN TIME (PT)                               ,100              
DEPARTMENT OF BIOCHEMISTR,41A     ,ACTIVATED PARTIAL THROMBO PLASTIN TINE (APTT)       ,180              
DEPARTMENT OF BIOCHEMISTR,42A     ,THROMBIN TIME (TT)            ,                      300              
DEPARTMENT OF BIOCHEMISTR,43A     ,PLASMA FIBRINOGEN                                   ,200              
DEPARTMENT OF BIOCHEMISTR,44A     ,FIBRINOGEN DEGRADATION PRODUCTS (FDP) QUANTIT       ,500              
DEPARTMENT OF BIOCHEMISTR,45A     ,EUGLOBULIN CLOTLYSIS TIME                  ,         160              
DEPARTMENT OF BIOCHEMISTR,46A     ,UREA CLOTLYSIS                                       ,80              
DEPARTMENT OF BIOCHEMISTR,47A     ,LUPUS INHIBITORS                                    ,500              
DEPARTMENT OF BIOCHEMISTR,48A     ,COAGULATION FACTOR VIII                             1500,              
DEPARTMENT OF BIOCHEMISTR,48B     ,COAGULATION FACTOR IX                              ,1500              
DEPARTMENT OF BIOCHEMISTR,48C     ,COAGULATION FACTOR XIII                             ,100              
DEPARTMENT OF BIOCHEMISTR,48D     ,PROTEIN C                                           1000             , 
DEPARTMENT OF BIOCHEMISTR,48E     ,PROTEIN S                                          ,1000              
DEPARTMENT OF BIOCHEMISTR,48F     ,PROTEIN C AND PROTEIN S BOTH                       ,1800              
DEPARTMENT OF BIOCHEMISTR,48G     ,AT III                                             ,1000              
DEPARTMENT OF BIOCHEMISTR,48H     ,D-DIMER                                             ,500              
DEPARTMENT OF BIOCHEMISTR,48I     ,PROTEIN C+PROTEIN S+ AT III                        ,2600              
DEPARTMENT OF BIOCHEMISTR,48J     ,FACTOR VIII + FACTOR IX                            ,2600              
DEPARTMENT OF BIOCHEMISTR,49A     ,MIXING EXPERIMENT                                   ,500              
DEPARTMENT OF BIOCHEMISTR,49B     ,COMPLETE COAGULATION PROFINE SCREEN(PT,APTT,F       ,600              
DEPARTMENT OF BIOCHEMISTR,50A     ,SERUM FRUCTOSAMINE                                   ,80              
DEPARTMENT OF BIOCHEMISTR,51A     ,GLYCOSYLATED HEMOGLOBIN A1 ,                         280              
DEPARTMENT OF BIOCHEMISTR,52A     ,GLYCOSYLATED Hb A1C                                 ,280              
DEPARTMENT OF BIOCHEMISTR,52B     ,PROTEIN C,PROTEIN S,AT III,HOMOCYSTEINE,PT,AP      ,3200              
DEPARTMENT OF BIOCHEMISTR,53A     ,COMPLEMENT COMPONENT (C3 OR C4) EACH    ,            400              
DEPARTMENT OF BIOCHEMISTR,53B     ,COMPLEMENT COMPONENT (C3 & C4) BOTH                 ,700              
DEPARTMENT OF BIOCHEMISTR,54A     ,SERUM MYOGLOBIN (QUALITATIVE,LATEX)                 ,350              
DEPARTMENT OF BIOCHEMISTR,55A     ,SERUM IMMUNOGLOBULINS (EACH) IgG OR IgA OR Ig       ,300              
DEPARTMENT OF BIOCHEMISTR,55B     ,SERUM IMMUNOGLOBULINS (ALL THREE)                   ,800              
DEPARTMENT OF BIOCHEMISTR,55C     ,IMMUNOGLOBULIN IgG SUBCLASS(EACH)                   ,400              
DEPARTMENT OF BIOCHEMISTR,55D     ,IMMUNOGLOBULIN E (IgE)ELISA                          350          ,    
DEPARTMENT OF BIOCHEMISTR,55E     ,HEMOGLOBIN ELECTROPHORESIS                          ,450              
DEPARTMENT OF BIOCHEMISTR,55F     ,LIPOPROTEIN ELECTROPHORESIS                         ,450              
DEPARTMENT OF BIOCHEMISTR,56A     ,SYNOVIAL/CSF/URINE FLUID/ELECTORP.                  ,500              
DEPARTMENT OF BIOCHEMISTR,56B    , SERUM PROTEIN ELECTROPHORESIS                       ,350              
DEPARTMENT OF BIOCHEMISTR,56C     ,KAPPA AND LAMBDA QUANTITATION                       ,700              
DEPARTMENT OF BIOCHEMISTR,56D     ,URINE MICRO ALBUMINURIA                             ,220              
DEPARTMENT OF BIOCHEMISTR,57A     ,SERUM IMMUNOELECTROPHORESIS                        ,1500              
DEPARTMENT OF BIOCHEMISTR,57B     ,IMMUNOFOCUSSING BENCE JONES PROTEINS URINE         ,2100              
DEPARTMENT OF BIOCHEMISTR,57C     ,SERUM IMMUNOFIXATION ELECTROPHORESIS(IFE)          ,2000              
DEPARTMENT OF BIOCHEMISTR,58A     ,SERUM CRYOGLOBULIN      ,                             50              
DEPARTMENT OF BIOCHEMISTR,59A     ,PARAPROTEIN (MONOCLONAL IMMUNOGLOBULIN) PROFI      ,3200              
DEPARTMENT OF BIOCHEMISTR,60A     ,HLA B-27                                            ,600              
DEPARTMENT OF BIOCHEMISTR,61A     ,MYOGLOBIN (QUANTITATIVE) ELISA       ,               450              
DEPARTMENT OF BIOCHEMISTR,61B     ,TROPONIN-T (TNT) ELISA                              ,600              
DEPARTMENT OF BIOCHEMISTR,61C     ,APOLIPOPROTEIN A1 ELISA                             ,250              
DEPARTMENT OF BIOCHEMISTR,61D     ,APOLIPOPROTEIN B ELISA                            ,  250              
DEPARTMENT OF BIOCHEMISTR,61E     ,APOLIPOPROTEIN A1 & B (BOTH) ELISA                  ,450              
DEPARTMENT OF BIOCHEMISTR,61F     ,TROP T (QUALITATIVE)                                ,650              
DEPARTMENT OF BIOCHEMISTR,61G     ,N/C-TELOPEPTIDE                                      450       ,       
DEPARTMENT OF BIOCHEMISTR,61H     ,N/C-TELOPEPTIDE + BONE ALP                          ,500              
DEPARTMENT OF BIOCHEMISTR,62A     ,INSULIN ELISA                                       ,400              
DEPARTMENT OF BIOCHEMISTR,62B     ,GTT WITH INSULIN 4 POINT CURVE ELISA               ,1250              
DEPARTMENT OF BIOCHEMISTR,62C ,    C-PEPTIDE ELISA                                     ,500              
DEPARTMENT OF BIOCHEMISTR,62D     ,GTT WITH 'C' PEPTIDE 4 POINT CURVE ELISA           ,1400              
DEPARTMENT OF BIOCHEMISTR,63A     ,ALPHAFETOPROTEIN (AFP) ELISA                        ,380              
DEPARTMENT OF BIOCHEMISTR,64A     ,BETA HUMAN CHORIONIC GONADOTROPIN (B-HCG) ELI       ,380              
DEPARTMENT OF BIOCHEMISTR,65A     ,CARCINO EMBRYONIC ANTIGEN (CEA) ELISA               ,380              
DEPARTMENT OF BIOCHEMISTR,66A     ,FERRITIN ELISA                                      ,350              
DEPARTMENT OF BIOCHEMISTR,66B     ,HEPTOGLOBIN        ,                                 350              
DEPARTMENT OF BIOCHEMISTR,66C     ,TRANSFERRIN                                         ,350              
DEPARTMENT OF BIOCHEMISTR,66D     ,IRON                                                 ,70              
DEPARTMENT OF BIOCHEMISTR,66E     ,UIBC / TIBC                     ,                     70              
DEPARTMENT OF BIOCHEMISTR,66F     ,IRON/UIBC/TIBC,FERRITIN                             ,450              
DEPARTMENT OF BIOCHEMISTR,67A     ,PROSTATE SPECIFIC ANTIGEN (PSA) ELISA               ,450              
DEPARTMENT OF BIOCHEMISTR,67B     ,FREE PSA                                     ,       450              
DEPARTMENT OF BIOCHEMISTR,67C     ,TOTAL AND FREE PSA BOTH                             ,800              
DEPARTMENT OF BIOCHEMISTR,67D     ,Urinary NMP22 CA bladder Elisa                     ,1500              
DEPARTMENT OF BIOCHEMISTR,68A     ,NEURON SPECIFIC ENOLASE (NSE) ELISA                  500  ,            
DEPARTMENT OF BIOCHEMISTR,69A     ,BETA-2 MICROGLOBULIN (B2M) ELISA                    ,350              
DEPARTMENT OF BIOCHEMISTR,70A     ,CA-125 ELISA                                        ,600              
DEPARTMENT OF BIOCHEMISTR,71A     ,CA-19-9  ELISA                                      ,600              
DEPARTMENT OF BIOCHEMISTR,71B     ,CYFRA-21 ELISA                                      ,600              
DEPARTMENT OF BIOCHEMISTR,71C     ,BONE ALP                                            ,150              
DEPARTMENT OF BIOCHEMISTR,72A     ,CA-15-3  ELISA                                      ,600              
DEPARTMENT OF BIOCHEMISTR,72B     ,FSH ELISA                                           ,350              
DEPARTMENT OF BIOCHEMISTR,72C     ,LH ELISA                                            ,350              
DEPARTMENT OF BIOCHEMISTR,72D     ,PROLACTIN ELISA                                     ,350              
DEPARTMENT OF BIOCHEMISTR,72E     ,FSH,LH,PROLACTIN (ALL THREE) ELISA                  ,900              
DEPARTMENT OF BIOCHEMISTR,72F     ,CORTISOL                                            ,350              
DEPARTMENT OF BIOCHEMISTR,72G     ,PROGESTERONE                                        ,350              
DEPARTMENT OF BIOCHEMISTR,72H     ,TESTOSTERON                  ,                       350              
DEPARTMENT OF BIOCHEMISTR,72I     ,ESTRADIOL                                           ,350              
DEPARTMENT OF BIOCHEMISTR,72J     ,ESTRADIOL AND PROGESTERON (BOTH)                    ,650              
DEPARTMENT OF BIOCHEMISTR,73A     ,URINARY PROTEINS (24 HOURS)               ,           80              
DEPARTMENT OF BIOCHEMISTR,73B     ,URINARY CREATININE CLEARANCE                        ,150              
DEPARTMENT OF BIOCHEMISTR,73C     ,URINARY ELECTROLYTES (Na & K) BOTH                  ,150              
DEPARTMENT OF BIOCHEMISTR,73D     ,URINARY CALCIUM (24 HOURS)                           ,75              
DEPARTMENT OF BIOCHEMISTR,73E     ,URINARY PHOSPHORUS CLEARANCE                        ,150              
DEPARTMENT OF BIOCHEMISTR,73F     ,URINARY PHOSPHORUS                                   ,65              
DEPARTMENT OF BIOCHEMISTR,73G     ,URINARY URIC ACID                                     90            ,  
DEPARTMENT OF BIOCHEMISTR,73H     ,URINARY AMINDACIDS (CHROMATOGRAPHY)                 ,300              
DEPARTMENT OF BIOCHEMISTR,73I     ,VMA (QUANTITATIVE)                                  ,250              
DEPARTMENT OF BIOCHEMISTR,74A     ,AMIND ACID (INDIVIDUAL) SPOT TEST                    ,65              
DEPARTMENT OF BIOCHEMISTR,74B     ,URINE TEST FOR CHYLE SPOT TEST                       ,60              
DEPARTMENT OF BIOCHEMISTR,74C     ,URINARY MUCOPOLYSACCHARIDES (SPOT TEST)              ,65              
DEPARTMENT OF BIOCHEMISTR,74D     ,URINARY HOMOGENTISIC ACID (SPOT)                     ,60              
DEPARTMENT OF BIOCHEMISTR,74E     ,URINARY PHENYLKETONURIA/ALKPTONURIA (SPOT)           ,60              
DEPARTMENT OF BIOCHEMISTR,74F     ,URINARY VMA (SPOT TEST) QUALITATIVE                  ,60              
DEPARTMENT OF BIOCHEMISTR,74G     ,5 OH INDOLE ACETIC ACID (SPOT)                       ,60              
DEPARTMENT OF BIOCHEMISTR,74H     ,URINARY PORPHOBILINOGEN (SPOT)                       ,60              
DEPARTMENT OF BIOCHEMISTR,74I     ,VMA QUANTITATIVE MANUAL  METHOD                     ,350              
DEPARTMENT OF BIOCHEMISTR,75A     ,VMA (COLUMN - METHOD QUANTITATIVE)                  ,650              
DEPARTMENT OF BIOCHEMISTR,75B     ,METANEPHRINE (COLUMN - METHOD)        ,              650              
DEPARTMENT OF BIOCHEMISTR,75C     ,5 HIAA (COLUMN -METHOD)                             ,650              
DEPARTMENT OF BIOCHEMISTR,75D     ,VMA (QUANTI) & METANEPHRINE BOTH                   ,1200              
DEPARTMENT OF BIOCHEMISTR,75E     ,VMA (QUANTI) and METANEPHRINE BOTH and 5HIAA       ,1800              
DEPARTMENT OF BIOCHEMISTR,76A     ,ALA (COLUMN - METHOD)                               ,700              
DEPARTMENT OF BIOCHEMISTR,76B     ,PBG(COLUMN METHOD)                                  ,600              
DEPARTMENT OF BIOCHEMISTR,76C     ,PORPHYRIA (COLUMN METHOD)                           1000        ,      
DEPARTMENT OF BIOCHEMISTR,76D     ,ALA,PBG,PORTHYRIA (ALL)                            ,1800              
DEPARTMENT OF BIOCHEMISTR,77A     ,OSTEOCLASTIC BONE PROFILE(ALP,CA,P,B-ALP,N/C-       ,800              
DEPARTMENT OF BIOCHEMISTR,77B     ,OSTEOBLASTIC BONE PROFILE(ALP,CA,P,B-ALP,OSTE       ,800              
DEPARTMENT OF BIOCHEMISTR,77C  ,   BONE PROFILE BOTH                                  ,1500              
DEPARTMENT OF BIOCHEMISTR,78A     ,BSR/BU/SC                                           ,195              
DEPARTMENT OF BIOCHEMISTR,78B     ,BSR/BU/SC/SE                                        ,355              
DEPARTMENT OF BIOCHEMISTR,78C     ,BU/SC/SE                                            ,300              
DEPARTMENT OF BIOCHEMISTR,78D     ,PT,APTT (40A+41A)                                   ,280              
DEPARTMENT OF BIOCHEMISTR,78E     ,CARDIAC PANEL I(CK,CK-MB,LDH)                       ,400              
DEPARTMENT OF BIOCHEMISTR,78F     ,CARDIAC PANEL II(CK-MB MASS,MYOGLOBIN,TROP-T)      ,1000              
DEPARTMENT OF BIOCHEMISTR,78G     ,THYROID RIA T3                                      ,150              
DEPARTMENT OF BIOCHEMISTR,78H     ,THYROID RIA T4                                      ,150              
DEPARTMENT OF BIOCHEMISTR,78I     ,THYROID RIA TSH                 ,                    200              
DEPARTMENT OF BIOCHEMISTR,78J     ,THYROID RIA T3 T4 TSH                               ,500              
DEPARTMENT OF BIOCHEMISTR,UNANI   ,BS(F AND PP)/LP/BU/SC/UA/SP/AP                      ,920              
DEPARTMENT OF CARDIOLOG,3000    ,CARDIAC HEMODYNAMICS                               ,3500              
DEPARTMENT OF CARDIOLOG,3001    ,CORONARY ANGIOGRAM       (GW)                      ,6000              
DEPARTMENT OF CARDIOLOG,3002    ,CORONARY ANGIOGRAM       (SPR)                     ,9000              
DEPARTMENT OF CARDIOLOG,3003    ,CORONARY ANGIOGRAM       (PR)                     ,10000              
DEPARTMENT OF CARDIOLOG,3004    ,RHC+LHC CATH             (GW)                      ,6000              
DEPARTMENT OF CARDIOLOG,3005    ,RHC+LHC CATH             (SPR)     ,                9000              
DEPARTMENT OF CARDIOLOG,3006    ,RHC+LHC CATH             (PR)                     ,10000              
DEPARTMENT OF CARDIOLOG,3007    ,EXTRA CHARGES FOR CREDIT                           ,1000              
DEPARTMENT OF CARDIOLOG,3008    ,PERCUTANEOUSBALLOONMITRALVALVULOPLASTY(PBMV)    ,  25000              
DEPARTMENT OF CARDIOLOG,3009    ,PERCUTANEOUSBALLOONMITRALVALVULOPLASTY(PBMV)      ,40000              
DEPARTMENT OF CARDIOLOG,3010    ,PERCUTANEOUSBALLOONMITRALVALVULOPLASTY (PBMV)     ,45000              
DEPARTMENT OF CARDIOLOG,3011    ,IABP                     (GW)                      35000     ,         
DEPARTMENT OF CARDIOLOG,3012    ,IABP                     (SPR)                    ,40000              
DEPARTMENT OF CARDIOLOG,3013    ,IABP                     (PR)                     ,45000              
DEPARTMENT OF CARDIOLOG,3014    ,EMERGENCY IABP           (GW)                     ,38500              
DEPARTMENT OF CARDIOLOG,3015    ,EMERGENCY IABP           (SPR)                    ,44000              
DEPARTMENT OF CARDIOLOG,3016    ,EMERGENCY IABP           (PR)                     ,49500              
DEPARTMENT OF CARDIOLOG,3017    ,PTCA -IVD                (GW)                     ,30000              
DEPARTMENT OF CARDIOLOG,3018    ,PTCA -IVD                (SPR)                    ,45000              
DEPARTMENT OF CARDIOLOG,3019    ,PTCA -IVD                (PR)                     ,55000              
DEPARTMENT OF CARDIOLOG,3020    ,EXTRA CHARGES FOR CREDIT PATIENTS                  ,5000              
DEPARTMENT OF CARDIOLOG,3021    ,EXTRA GUIDE WIRE   ,                                5000              
DEPARTMENT OF CARDIOLOG,3022    ,EXTRA GUIDE CATHETER                               ,5000              
DEPARTMENT OF CARDIOLOG,3023    ,EXTRA BALLOON                                     ,20000              
DEPARTMENT OF CARDIOLOG,3024    ,NON-IONIC CONTRAST 50ML         ,                   1000              
DEPARTMENT OF CARDIOLOG,3025    ,NON-IONIC CONTRAST 100ML (MORE THAN 50 -100ML      ,2000              
DEPARTMENT OF CARDIOLOG,3026    ,NON-IONIC CONTRAST 150ML (MORE THAN 100-150 M      ,3000              
DEPARTMENT OF CARDIOLOG,3027    ,NON-IONIC CONTRAST 200ML (MORE THAN 150-200ML,      4000              
DEPARTMENT OF CARDIOLOG,3028    ,CINE FLUROSCOPY                                     ,500              
DEPARTMENT OF CARDIOLOG,3029    ,PERICARDIAL TAP                                    ,4500              
